System,Metric,Baseline_Tag,Driver,Raw_Tag,Direction,Count,P25,P50,P75,Mean,P25_Change_vs_Baseline_Pct,P50_Change_vs_Baseline_Pct,P75_Change_vs_Baseline_Pct,Mean_Change_vs_Baseline_Pct
Theta 2021,Bounded_Slowdown,WFP,MARS-CU,MARS-CU,lower_is_better,26647,1.7536,4.1488,16.8766,134.0025,14.03,4.11,-2.71,-6.80
Theta 2021,Bounded_Slowdown,WFP,FCFS,FCFS,lower_is_better,28441,2.3697,7.5519,39.3367,221.8019,-16.18,-74.54,-139.40,-76.77
Theta 2021,Bounded_Slowdown,WFP,SJF,SJF,lower_is_better,22474,1.4079,2.4685,6.8601,130.1048,30.98,42.95,58.25,-3.69
Theta 2021,Bounded_Slowdown,WFP,F1,F1,lower_is_better,21613,1.3720,2.4081,7.0965,198.6431,32.73,44.34,56.81,-58.32
Polaris 2024,Bounded_Slowdown,WFP,Random,Random,lower_is_better,33596,2.1582,6.5131,44.3529,489.8163,20.21,17.49,12.75,-2.48
Polaris 2024,Bounded_Slowdown,WFP,WFP,WFP,lower_is_better,34789,2.7048,7.8934,50.8327,477.9442,0.00,0.00,0.00,0.00
Polaris 2024,Bounded_Slowdown,WFP,MARS-CW,MARS-CW,lower_is_better,32869,1.9833,5.8925,33.9870,734.2891,26.67,25.35,33.14,-53.63
Polaris 2024,Bounded_Slowdown,WFP,MARS-CU,MARS-CU,lower_is_better,35684,2.5562,8.0504,46.3619,455.8594,5.49,-1.99,8.79,4.62
Polaris 2024,Bounded_Slowdown,WFP,FCFS,FCFS,lower_is_better,36220,3.2862,13.1834,122.3250,863.2106,-21.50,-67.02,-140.64,-80.61
Polaris 2024,Bounded_Slowdown,WFP,SJF,SJF,lower_is_better,32090,2.0626,5.5470,28.4893,473.3351,23.74,29.73,43.95,0.96
Polaris 2024,Bounded_Slowdown,WFP,F1,F1,lower_is_better,31813,2.0396,5.3250,24.5704,509.7267,24.59,32.54,51.66,-6.65
Theta 2021,Uptime_Utilization_pct,WFP,RLScheduler,RLScheduler,higher_is_better,1,77.9455,77.9455,77.9455,77.9455,-13.28,-14.84,-16.35,-12.73
Theta 2021,Uptime_Utilization_pct,WFP,Random,Random,higher_is_better,22,85.7820,89.0649,90.9017,86.2223,-4.56,-2.69,-2.45,-3.47
Theta 2021,Uptime_Utilization_pct,WFP,WFP,WFP,higher_is_better,22,89.8802,91.5267,93.1847,89.3173,0.00,0.00,0.00,0.00
Theta 2021,Uptime_Utilization_pct,WFP,MARS-CW,MARS-CW,higher_is_better,22,79.6932,81.4047,83.0427,79.5796,-11.33,-11.06,-10.88,-10.90
Theta 2021,Uptime_Utilization_pct,WFP,MARS-CU,MARS-CU,higher_is_better,22,88.8901,92.6242,94.1943,89.6432,-1.10,1.20,1.08,0.36
Theta 2021,Uptime_Utilization_pct,WFP,FCFS,FCFS,higher_is_better,22,89.7504,91.3443,93.3835,89.3159,-0.14,-0.20,0.21,-0.00
Theta 2021,Uptime_Utilization_pct,WFP,SJF,SJF,higher_is_better,22,84.8423,86.5373,89.1209,85.1359,-5.61,-5.45,-4.36,-4.68
Theta 2021,Uptime_Utilization_pct,WFP,F1,F1,higher_is_better,22,81.8061,84.0885,87.6979,83.0021,-8.98,-8.13,-5.89,-7.07
Polaris 2024,Uptime_Utilization_pct,WFP,RLScheduler,RLScheduler,higher_is_better,1,68.1336,68.1336,68.1336,68.1336,-1.91,-11.32,-16.22,-9.64
Polaris 2024,Uptime_Utilization_pct,WFP,Random,Random,higher_is_better,10,69.6038,77.0123,81.3275,75.5009,0.21,0.24,0.00,0.13
Polaris 2024,Uptime_Utilization_pct,WFP,WFP,WFP,higher_is_better,10,69.4590,76.8301,81.3266,75.4038,0.00,0.00,0.00,0.00
Polaris 2024,Uptime_Utilization_pct,WFP,MARS-CW,MARS-CW,higher_is_better,10,69.3620,74.8534,80.2582,74.4890,-0.14,-2.57,-1.31,-1.21
Polaris 2024,Uptime_Utilization_pct,WFP,MARS-CU,MARS-CU,higher_is_better,10,69.6667,76.7884,81.3270,75.5406,0.30,-0.05,0.00,0.18
Polaris 2024,Uptime_Utilization_pct,WFP,FCFS,FCFS,higher_is_better,10,70.4715,75.0927,80.8643,74.7281,1.46,-2.26,-0.57,-0.90
Polaris 2024,Uptime_Utilization_pct,WFP,SJF,SJF,higher_is_better,10,69.5731,77.9783,82.6774,75.8171,0.16,1.49,1.66,0.55
Polaris 2024,Uptime_Utilization_pct,WFP,F1,F1,higher_is_better,10,69.4451,75.4697,83.4924,75.2677,-0.02,-1.77,2.66,-0.18
