tag,jobs_completed,makespan_s,wait_avg,wait_min,wait_p25,wait_p50,wait_p75,wait_p80,wait_p90,wait_p95,wait_p99,wait_max,bsld_avg,bsld_min,bsld_p25,bsld_p50,bsld_p75,bsld_p80,bsld_p90,bsld_p95,bsld_p99,bsld_max,total_util
UNICEP-w16,52616,37553272,40384.30,0.00,0.00,6690.50,38958.50,54753.00,108224.50,191046.00,364369.35,8735478.00,8.44,1.00,1.00,1.77,5.32,7.05,14.23,28.53,94.11,2327.63,0.7664
UNICEP-w32,52616,37549228,34932.46,0.00,0.00,3410.00,24745.00,36480.00,86504.50,164428.00,349613.30,8809851.00,7.69,1.00,1.00,1.33,4.09,5.41,11.36,22.18,93.55,2348.29,0.7665
UNICEP-w64,52616,37573471,34896.65,0.00,0.00,2240.50,19521.25,29645.00,68515.50,158885.25,432817.70,8877470.00,8.66,1.00,1.00,1.22,3.23,4.59,12.91,28.32,92.93,2367.07,0.7660
UNICEP-w128,52616,37574688,37098.70,0.00,0.00,1787.00,16355.00,24328.00,59455.50,121718.25,591296.80,8877482.00,9.67,1.00,1.00,1.17,2.93,4.28,11.24,20.90,105.24,2367.07,0.7660
UNICEP-w256,52616,37574688,35353.31,0.00,0.00,1062.00,10785.00,15295.00,37589.50,76486.50,659908.60,8877482.00,8.14,1.00,1.00,1.11,2.12,2.77,6.77,14.98,103.84,2367.07,0.7660
UNICEP-w512,52616,37574688,35414.87,0.00,0.00,1064.00,10885.00,16153.00,40728.50,77748.50,651971.55,8877482.00,8.34,1.00,1.00,1.10,2.11,2.77,7.24,17.24,105.62,2367.07,0.7660
UNICEP-w1024,52616,37574688,35556.64,0.00,0.00,980.00,10810.00,16086.00,41165.00,77678.50,659912.05,8877482.00,8.32,1.00,1.00,1.09,2.06,2.70,7.19,17.85,105.72,2367.07,0.7660
F1-w2,52616,37611467,46676.85,0.00,0.00,11471.00,50807.00,70583.00,145414.50,221759.75,361758.45,2547652.00,7.34,1.00,1.00,2.37,6.84,8.77,14.89,24.15,83.91,1061.61,0.7652
F1-w4,52616,37610778,41582.47,0.00,0.00,9012.50,44151.25,61063.00,121997.00,215764.25,331421.20,3485478.00,6.81,1.00,1.00,2.06,6.08,7.68,13.16,22.13,78.75,1724.61,0.7652
F1-w8,52616,37642194,32583.49,0.00,0.00,5571.50,30536.00,41427.00,91472.00,154258.75,309288.15,3627891.00,5.62,1.00,1.00,1.62,4.42,5.65,10.60,17.72,66.02,1404.16,0.7646
F1-w16,52616,37645278,29322.85,0.00,0.00,3808.00,24857.75,35400.00,73536.50,131722.75,298383.65,4523368.00,5.37,1.00,1.00,1.43,3.76,4.81,9.47,17.81,60.74,2019.68,0.7645
F1-w32,52616,37659763,23405.16,0.00,0.00,1857.00,13267.50,19082.00,48136.00,92006.25,269348.85,4674902.00,4.38,1.00,1.00,1.21,2.52,3.21,6.45,11.89,45.72,2445.20,0.7642
F1-w64,52616,37688105,20850.00,0.00,0.00,1020.50,10135.50,14372.00,36411.00,67041.75,317747.45,4660381.00,3.83,1.00,1.00,1.12,2.05,2.60,4.87,9.50,39.34,2445.20,0.7637
F1-w128,52616,37688105,19807.43,0.00,0.00,788.50,9046.00,12772.00,30479.50,57977.75,319794.45,4726571.00,3.59,1.00,1.00,1.10,1.96,2.31,4.16,7.67,34.20,2445.20,0.7637
F1-w256,52616,37688105,19652.49,0.00,0.00,756.00,8993.25,12548.00,29593.00,56020.50,319794.45,4726571.00,3.56,1.00,1.00,1.09,1.93,2.26,4.06,7.39,34.20,2445.20,0.7637
F1-w512,52616,37688105,19663.78,0.00,0.00,755.00,8998.25,12546.00,29734.00,56020.50,319794.45,4726571.00,3.56,1.00,1.00,1.09,1.93,2.27,4.05,7.40,34.20,2445.20,0.7637
F1-w1024,52616,37688105,19663.78,0.00,0.00,755.00,8998.25,12546.00,29734.00,56020.50,319794.45,4726571.00,3.56,1.00,1.00,1.09,1.93,2.27,4.05,7.40,34.20,2445.20,0.7637
F2-w2,52616,37611467,48276.82,0.00,0.00,10368.50,52970.75,72026.00,159610.50,229500.25,361340.70,2318611.00,7.39,1.00,1.00,2.33,6.89,8.82,14.84,25.54,85.48,1061.61,0.7652
F2-w4,52616,37613040,40842.09,0.00,0.00,8821.00,42001.50,56221.00,125925.50,210370.25,324612.95,2329961.00,6.43,1.00,1.00,1.97,5.99,7.72,13.97,21.16,68.66,1732.15,0.7652
F2-w8,52616,37640047,32765.70,0.00,0.00,5349.00,30935.00,43709.00,94397.00,161300.75,301154.40,3349124.00,5.35,1.00,1.00,1.61,4.70,5.86,10.48,17.39,61.19,1246.10,0.7646
F2-w16,52616,37658661,27358.97,0.00,0.00,3697.00,22419.75,32232.00,66548.50,113602.50,302956.60,4973052.00,4.62,1.00,1.00,1.41,3.68,4.65,8.53,15.73,52.61,1004.11,0.7643
F2-w32,52616,37675790,22324.45,0.00,0.00,1843.00,14171.25,20476.00,44284.00,85374.75,252679.90,8983025.00,3.42,1.00,1.00,1.19,2.55,3.23,5.92,10.77,33.45,1003.85,0.7639
F2-w64,52616,37675908,20572.38,0.00,0.00,1183.00,10048.25,14502.00,36378.00,68845.75,282117.90,9238750.00,2.82,1.00,1.00,1.12,2.10,2.66,4.84,8.07,26.25,579.14,0.7639
F2-w128,52616,37675908,18858.45,0.00,0.00,857.00,9068.25,12785.00,29324.50,53246.25,299224.85,9239665.00,2.50,1.00,1.00,1.10,1.96,2.31,4.00,6.84,22.16,579.14,0.7639
F2-w256,52616,37675908,18770.87,0.00,0.00,816.00,8895.00,12326.00,28251.00,53162.75,301600.25,9239665.00,2.49,1.00,1.00,1.10,1.94,2.28,3.99,6.78,22.16,579.14,0.7639
F2-w512,52616,37675908,18775.08,0.00,0.00,812.00,8870.25,12300.00,28424.50,53162.75,301618.25,9239665.00,2.49,1.00,1.00,1.10,1.94,2.28,3.98,6.77,22.16,579.14,0.7639
F2-w1024,52616,37675908,18775.08,0.00,0.00,812.00,8870.25,12300.00,28424.50,53162.75,301618.25,9239665.00,2.49,1.00,1.00,1.10,1.94,2.28,3.98,6.77,22.16,579.14,0.7639
F3-w2,52616,37611467,46749.40,0.00,0.00,9806.00,51121.50,69918.00,156464.50,220042.00,355230.00,2003907.00,7.20,1.00,1.00,2.21,6.73,8.84,14.55,24.76,82.61,1061.61,0.7652
F3-w4,52616,37613040,40901.94,0.00,0.00,9081.00,42130.25,56295.00,122392.50,210894.25,332536.20,2328245.00,6.39,1.00,1.00,2.01,5.75,7.42,13.20,21.58,70.20,1732.15,0.7652
F3-w8,52616,37640047,31669.56,0.00,0.00,5333.00,30551.00,42154.00,85703.50,149666.50,303032.75,3332426.00,5.28,1.00,1.00,1.63,4.46,5.64,10.49,17.93,59.00,1246.10,0.7646
F3-w16,52616,37658661,27135.34,0.00,0.00,3595.00,21962.50,30707.00,67588.00,120960.50,282275.30,4422151.00,4.56,1.00,1.00,1.42,3.56,4.46,8.50,14.63,50.31,1004.11,0.7643
F3-w32,52616,37650529,22567.42,0.00,0.00,1957.00,13152.00,19073.00,46969.50,94508.75,238586.80,7062825.00,3.43,1.00,1.00,1.21,2.57,3.24,5.99,10.48,36.75,1003.85,0.7644
F3-w64,52616,37650529,20929.06,0.00,0.00,1130.50,10296.00,14382.00,36138.00,72356.25,253301.75,7602595.00,2.65,1.00,1.00,1.12,2.08,2.57,4.78,7.95,26.16,224.87,0.7644
F3-w128,52616,37650529,19447.64,0.00,0.00,703.50,8623.00,11747.00,25803.50,55377.50,292682.05,7740521.00,2.26,1.00,1.00,1.08,1.89,2.16,3.99,6.42,19.65,224.87,0.7644
