System,Metric,Job_Class,Baseline_Tag,Driver,Raw_Tag,Direction,Count,P25,P50,P75,Mean,P25_Change_vs_Baseline_Pct,P50_Change_vs_Baseline_Pct,P75_Change_vs_Baseline_Pct,Mean_Change_vs_Baseline_Pct
Polaris 2024,Wait_Time_hours,L,WFP,MARS-CW,MARS-CW,lower_is_better,6024,0.8942,4.0222,15.2108,33.7989,70.78,62.67,56.81,-22.56
Polaris 2024,Wait_Time_hours,L,WFP,MARS-CU,MARS-CU,lower_is_better,6219,1.9390,7.4172,24.1062,19.5239,36.63,31.16,31.55,29.20
Polaris 2024,Wait_Time_hours,L,WFP,FCFS,FCFS,lower_is_better,6455,4.9036,20.6525,58.9643,36.2970,-60.25,-91.67,-67.44,-31.62
Polaris 2024,Wait_Time_hours,L,WFP,SJF,SJF,lower_is_better,6250,1.3463,5.0061,14.8566,27.7873,56.00,53.54,57.81,-0.76
Polaris 2024,Wait_Time_hours,L,WFP,F1,F1,lower_is_better,5992,1.4656,5.1019,13.9372,13.3009,52.11,52.65,60.42,51.77
Polaris 2024,Wait_Time_hours,XL,WFP,RLScheduler,RLScheduler,lower_is_better,1160,6.1373,15.2546,41.4929,88.0088,-6.23,-17.14,-17.72,-153.97
Polaris 2024,Wait_Time_hours,XL,WFP,Random,Random,lower_is_better,1304,11.1116,41.9606,150.1526,102.9865,-92.33,-222.22,-326.01,-197.19
Polaris 2024,Wait_Time_hours,XL,WFP,WFP,WFP,lower_is_better,1309,5.7775,13.0222,35.2467,34.6539,0.00,0.00,0.00,0.00
Polaris 2024,Wait_Time_hours,XL,WFP,MARS-CW,MARS-CW,lower_is_better,1314,5.8176,17.9201,76.8526,115.3337,-0.69,-37.61,-118.04,-232.82
Polaris 2024,Wait_Time_hours,XL,WFP,MARS-CU,MARS-CU,lower_is_better,1297,10.2064,38.9508,135.5964,85.8181,-76.66,-199.11,-284.71,-147.64
Polaris 2024,Wait_Time_hours,XL,WFP,FCFS,FCFS,lower_is_better,1300,11.2165,34.5164,82.9979,53.5711,-94.14,-165.06,-135.48,-54.59
Polaris 2024,Wait_Time_hours,XL,WFP,SJF,SJF,lower_is_better,1318,3.2594,9.4663,41.4825,62.0613,43.59,27.31,-17.69,-79.09
Polaris 2024,Wait_Time_hours,XL,WFP,F1,F1,lower_is_better,1315,9.2700,29.7667,108.6260,100.8903,-60.45,-128.58,-208.19,-191.14
