System,Metric,Baseline_Tag,Driver,Raw_Tag,Direction,Count,P25,P50,P75,Mean,P25_Change_vs_Baseline_Pct,P50_Change_vs_Baseline_Pct,P75_Change_vs_Baseline_Pct,Mean_Change_vs_Baseline_Pct
Polaris 2024,Wait_Time_hours,WFP,MARS-CU,MARS-CU,lower_is_better,35684,0.6297,2.5679,7.5467,10.2643,43.97,35.70,43.78,25.08
Polaris 2024,Wait_Time_hours,WFP,FCFS,FCFS,lower_is_better,38715,1.7669,6.1383,18.3886,16.7846,-57.21,-53.71,-36.98,-22.51
Polaris 2024,Wait_Time_hours,WFP,SJF,SJF,lower_is_better,33294,0.5425,2.1186,7.0686,12.0838,51.73,46.95,47.34,11.80
Polaris 2024,Wait_Time_hours,WFP,F1,F1,lower_is_better,31277,0.4831,1.8022,5.2636,9.1959,57.02,54.87,60.79,32.88
Theta 2021,Bounded_Slowdown,WFP,Random,Random,lower_is_better,24267,1.4791,3.0753,11.9306,200.4336,74.66,75.77,70.75,-1.22
Theta 2021,Bounded_Slowdown,WFP,WFP,WFP,lower_is_better,31810,5.8372,12.6897,40.7873,198.0123,0.00,0.00,0.00,0.00
Theta 2021,Bounded_Slowdown,WFP,MARS-CW,MARS-CW,lower_is_better,23051,1.2422,2.3338,8.3715,349.6278,78.72,81.61,79.48,-76.57
Theta 2021,Bounded_Slowdown,WFP,MARS-CU,MARS-CU,lower_is_better,26647,1.7536,4.1488,16.8766,134.0025,69.96,67.31,58.62,32.33
Theta 2021,Bounded_Slowdown,WFP,FCFS,FCFS,lower_is_better,30705,6.7790,21.7359,85.5371,304.8343,-16.13,-71.29,-109.72,-53.95
Theta 2021,Bounded_Slowdown,WFP,SJF,SJF,lower_is_better,23168,1.5580,2.8814,10.0047,516.7012,73.31,77.29,75.47,-160.94
Theta 2021,Bounded_Slowdown,WFP,F1,F1,lower_is_better,21966,1.3649,2.4261,7.2109,208.9137,76.62,80.88,82.32,-5.51
Polaris 2024,Bounded_Slowdown,WFP,Random,Random,lower_is_better,33596,2.1582,6.5131,44.3529,489.8163,38.34,43.93,58.11,46.24
Polaris 2024,Bounded_Slowdown,WFP,WFP,WFP,lower_is_better,37942,3.5000,11.6170,105.8752,911.1681,0.00,0.00,0.00,0.00
Polaris 2024,Bounded_Slowdown,WFP,MARS-CW,MARS-CW,lower_is_better,32869,1.9833,5.8925,33.9870,734.2891,43.33,49.28,67.90,19.41
Polaris 2024,Bounded_Slowdown,WFP,MARS-CU,MARS-CU,lower_is_better,35684,2.5562,8.0504,46.3619,455.8594,26.97,30.70,56.21,49.97
Polaris 2024,Bounded_Slowdown,WFP,FCFS,FCFS,lower_is_better,38715,4.4122,18.5248,173.7655,1005.6982,-26.06,-59.46,-64.12,-10.37
Polaris 2024,Bounded_Slowdown,WFP,SJF,SJF,lower_is_better,33294,2.1813,6.1298,35.5295,1345.7091,37.68,47.23,66.44,-47.69
Polaris 2024,Bounded_Slowdown,WFP,F1,F1,lower_is_better,31277,2.0525,5.4006,24.0074,535.3586,41.36,53.51,77.32,41.24
Theta 2021,Uptime_Utilization_pct,WFP,RLScheduler,RLScheduler,higher_is_better,1,77.9455,77.9455,77.9455,77.9455,-13.61,-15.45,-16.59,-12.78
Theta 2021,Uptime_Utilization_pct,WFP,Random,Random,higher_is_better,22,85.7820,89.0649,90.9017,86.2223,-4.93,-3.39,-2.73,-3.52
Theta 2021,Uptime_Utilization_pct,WFP,WFP,WFP,higher_is_better,22,90.2291,92.1865,93.4497,89.3665,0.00,0.00,0.00,0.00
Theta 2021,Uptime_Utilization_pct,WFP,MARS-CW,MARS-CW,higher_is_better,22,79.6932,81.4047,83.0427,79.5796,-11.68,-11.70,-11.14,-10.95
Theta 2021,Uptime_Utilization_pct,WFP,MARS-CU,MARS-CU,higher_is_better,22,88.8901,92.6242,94.1943,89.6432,-1.48,0.47,0.80,0.31
Theta 2021,Uptime_Utilization_pct,WFP,FCFS,FCFS,higher_is_better,22,89.0464,92.3438,94.1598,88.7901,-1.31,0.17,0.76,-0.65
Theta 2021,Uptime_Utilization_pct,WFP,SJF,SJF,higher_is_better,22,78.5671,83.1823,86.2209,80.9420,-12.92,-9.77,-7.74,-9.43
Theta 2021,Uptime_Utilization_pct,WFP,F1,F1,higher_is_better,22,81.0084,84.7161,87.9878,82.3838,-10.22,-8.10,-5.84,-7.81
Polaris 2024,Uptime_Utilization_pct,WFP,RLScheduler,RLScheduler,higher_is_better,1,68.1336,68.1336,68.1336,68.1336,-1.87,-11.32,-15.77,-9.50
Polaris 2024,Uptime_Utilization_pct,WFP,Random,Random,higher_is_better,10,69.6038,77.0123,81.3275,75.5009,0.25,0.24,0.54,0.28
Polaris 2024,Uptime_Utilization_pct,WFP,WFP,WFP,higher_is_better,10,69.4313,76.8301,80.8886,75.2870,0.00,0.00,0.00,0.00
Polaris 2024,Uptime_Utilization_pct,WFP,MARS-CW,MARS-CW,higher_is_better,10,69.3620,74.8534,80.2582,74.4890,-0.10,-2.57,-0.78,-1.06
Polaris 2024,Uptime_Utilization_pct,WFP,MARS-CU,MARS-CU,higher_is_better,10,69.6667,76.7884,81.3270,75.5406,0.34,-0.05,0.54,0.34
Polaris 2024,Uptime_Utilization_pct,WFP,FCFS,FCFS,higher_is_better,10,70.4994,75.1487,80.8811,74.8169,1.54,-2.19,-0.01,-0.62
Polaris 2024,Uptime_Utilization_pct,WFP,SJF,SJF,higher_is_better,10,69.4926,77.9072,82.9456,75.5312,0.09,1.40,2.54,0.32
Polaris 2024,Uptime_Utilization_pct,WFP,F1,F1,higher_is_better,10,70.8446,75.4697,82.9401,75.1633,2.04,-1.77,2.54,-0.16
