tag,jobs_completed,makespan_s,wait_avg,wait_min,wait_p25,wait_p50,wait_p75,wait_p80,wait_p90,wait_p95,wait_p99,wait_max,bsld_avg,bsld_min,bsld_p25,bsld_p50,bsld_p75,bsld_p80,bsld_p90,bsld_p95,bsld_p99,bsld_max,total_util
F3-w1024,34696,40231155,75019.46,0.00,0.00,724.50,6180.50,9176.00,26025.50,54718.50,742350.65,34240299.00,3.27,1.00,1.00,1.13,1.91,2.22,3.67,6.18,33.25,1507.46,0.7888
F4-w2,34696,37122608,124170.41,0.00,7323.75,54613.50,177617.00,213944.00,347314.50,489347.50,767814.35,4578362.00,19.80,1.00,2.18,8.63,23.64,29.45,50.93,74.64,147.34,587.71,0.8549
F4-w4,34696,37143465,127038.06,0.00,6364.00,50373.00,183868.50,228972.00,358345.50,473592.75,776415.80,7295074.00,20.80,1.00,1.96,7.97,23.55,30.65,54.58,89.76,153.00,538.48,0.8544
F4-w8,34696,37177776,129399.36,0.00,6600.25,50702.50,166940.50,212390.00,370035.50,487401.50,789169.65,10035898.00,19.43,1.00,2.03,8.57,23.37,29.94,49.39,70.98,142.58,601.26,0.8536
F4-w16,34696,37538653,118050.00,0.00,3457.75,34118.00,134690.75,186947.00,338179.00,475639.25,693736.55,15471030.00,17.82,1.00,1.55,6.07,19.07,25.05,46.14,73.71,164.51,437.71,0.8454
F4-w32,34696,38300780,101511.99,0.00,379.75,14395.50,74425.75,106689.00,266519.00,377011.00,708826.30,23335384.00,12.60,1.00,1.06,2.94,12.42,17.32,34.40,55.59,123.44,443.95,0.8286
F4-w64,34696,39096659,78581.33,0.00,0.00,2820.50,17207.25,27838.00,88989.50,222344.00,574680.60,30774908.00,5.88,1.00,1.00,1.44,3.41,4.57,12.11,26.05,80.64,357.19,0.8117
F4-w128,34696,39843605,69250.47,0.00,0.00,971.00,7114.25,10437.00,29190.50,57770.25,518586.50,33852749.00,2.92,1.00,1.00,1.17,1.97,2.32,3.99,6.73,24.89,635.98,0.7965
F4-w256,34696,39675747,66305.37,0.00,0.00,987.50,6846.25,10059.00,28135.00,56552.25,492280.25,33684891.00,2.85,1.00,1.00,1.17,1.95,2.27,3.81,6.47,25.71,635.98,0.7999
F4-w512,34696,39675747,66305.37,0.00,0.00,987.50,6846.25,10059.00,28135.00,56552.25,492280.25,33684891.00,2.85,1.00,1.00,1.17,1.95,2.27,3.81,6.47,25.71,635.98,0.7999
F4-w1024,34696,39675747,66305.37,0.00,0.00,987.50,6846.25,10059.00,28135.00,56552.25,492280.25,33684891.00,2.85,1.00,1.00,1.17,1.95,2.27,3.81,6.47,25.71,635.98,0.7999
